listing_id,year_month,reviews
1472520,2017-09-01,12
1472520,2017-10-01,10
1472520,2017-11-01,8
1472520,2017-12-01,6
1472520,2018-01-01,3
1472520,2018-02-01,1
1472520,2018-03-01,12
1472520,2018-04-01,13
1472520,2018-05-01,10
1472520,2018-06-01,13
1472520,2018-07-01,10
1472520,2018-08-01,9
1472520,2018-09-01,11
1472520,2018-10-01,14
1472520,2018-11-01,8
1472520,2018-12-01,9
1472520,2019-01-01,5
1472520,2019-03-01,6
1472520,2019-04-01,7
1472520,2019-05-01,9
1472520,2019-06-01,8
1472520,2019-07-01,11
1472520,2019-08-01,12
1472520,2019-09-01,9
1472520,2019-10-01,14
1472520,2019-11-01,7
1472520,2019-12-01,5
1472520,2020-01-01,8
1472520,2020-02-01,5
1472520,2020-03-01,6
1472520,2022-04-01,6
1472520,2022-05-01,3
1472520,2022-06-01,1
1472520,2022-07-01,4
1472520,2022-08-01,3
1472520,2022-09-01,3
1472520,2022-10-01,2
1472520,2022-11-01,3
1472520,2023-03-01,1
1472520,2023-04-01,4
1472520,2023-05-01,3
1472520,2023-06-01,1
1472520,2023-07-01,3
1472520,2023-08-01,8
1472520,2023-09-01,8
1472520,2023-10-01,10
1472520,2023-11-01,6
1472520,2023-12-01,1
1472520,2024-01-01,2
1472520,2024-02-01,2
1472520,2024-03-01,5
1472520,2024-04-01,1
1472520,2024-05-01,7
1472520,2024-06-01,6
1472520,2024-07-01,10
1472520,2024-08-01,8
1472520,2024-09-01,11
1472520,2024-10-01,5
1472520,2025-02-01,1
1472520,2025-03-01,5
1472520,2025-04-01,8
1472520,2025-05-01,9
1472520,2025-06-01,4
1472520,2025-07-01,4
1545185,2013-10-01,3
1545185,2013-11-01,3
1545185,2013-12-01,1
1545185,2014-02-01,2
1545185,2014-05-01,1
1545185,2014-06-01,1
1545185,2014-08-01,1
1545185,2014-09-01,3
1545185,2014-10-01,2
1545185,2014-11-01,1
1545185,2014-12-01,1
1545185,2015-05-01,1
1545185,2015-06-01,1
1545185,2015-08-01,1
1545185,2015-09-01,1
1545185,2015-10-01,1
1545185,2016-03-01,1
1545185,2016-04-01,1
1545185,2016-05-01,1
1545185,2016-06-01,1
1545185,2016-07-01,1
1545185,2016-08-01,1
1545185,2016-09-01,2
1545185,2016-10-01,4
1545185,2016-11-01,1
1545185,2017-02-01,1
1545185,2017-03-01,2
1545185,2017-04-01,1
1545185,2017-05-01,1
1545185,2017-08-01,4
1545185,2017-09-01,1
1545185,2017-10-01,7
1545185,2017-11-01,3
1545185,2017-12-01,1
1545185,2018-01-01,1
1545185,2018-04-01,6
